Date,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,Entropy_17,Entropy_18,Entropy_19,Entropy_20,Entropy_21,Entropy_22,Entropy_23,Entropy_24,Entropy_25,Entropy_26,Entropy_27,Entropy_28,Entropy_29,Entropy_30,Entropy_31,Entropy_32,Entropy_33,Entropy_34,Entropy_35,Entropy_36,Min,Max ,Mean
Mar-20,0.120790081,0.145840988,0.14440718,0.150883771,0.131878044,0.146194504,0.147489003,0.088273207,0.130231665,0.12193706,0.135020596,0.131696866,0.114141198,0.079107983,0.135005232,0.146194504,0.13279906,0.142013833,0.088389737,0.107513369,0.127307686,0.090434865,0.138150338,0.125848896,0.149106256,0.128768607,0.137317842,0.088389737,0.143909823,0.145100844,0.093276625,0.139826544,0.133900601,0.140410661,0.136293062,0.167664399,0.079107983,0.167664399,0.126506344
Apr-20,0.231801614,0.327212911,0.356674944,0.326000937,0.312872321,0.260883879,0.299744945,0.214559808,0.328925031,0.282862786,0.263110812,0.31563815,0.271496748,0.219747962,0.312133168,0.3203073,0.235456812,0.357749635,0.216223108,0.197610249,0.317535036,0.259511195,0.314030902,0.308090944,0.332133835,0.350202429,0.273293335,0.219747962,0.304860409,0.272866987,0.20815576,0.221372072,0.282862786,0.308090944,0.287682072,0.321320432,0.197610249,0.357749635,0.280414317
May-20,0.296265816,0.262364264,0.229574442,0.236388778,0.217064505,0.146603474,0.203598955,0.229574442,0.197825743,0.217064505,0.27029033,0.251314428,0.187211542,0.211309094,0.262364264,0.236388778,0.211309094,0.27029033,0.217064505,0.223143551,0.25489225,0.177681177,0.251314428,0.197825743,0.296265816,0.331357136,0.247836164,0.223143551,0.30538165,0.278713402,0.158224005,0.182321557,0.182321557,0.262364264,0.236388778,0.262364264,0.146603474,0.331357136,0.230317991
Jun-20,0.148262537,0.11826392,0.164874643,0.131266386,0.157436913,0.126441098,0.169602784,0.137430033,0.132424586,0.150282203,0.148262537,0.129077042,0.141904313,0.133531393,0.147014743,0.141904313,0.114880276,0.15415068,0.145555586,0.139761942,0.113023388,0.148894426,0.116313528,0.134656885,0.124642445,0.115354081,0.122102697,0.141313533,0.154814911,0.157436913,0.152191815,0.137430033,0.156160731,0.151549898,0.169602784,0.139171566,0.113023388,0.169602784,0.139905193
Jul-20,0.462623522,0.422856851,0.424883194,0.336472237,0.342944751,0.405465108,0.387765531,0.371563556,0.371563556,0.389464767,0.371563556,0.322773392,0.251314428,0.351397887,0.485507816,0.387765531,0.498991166,0.476924072,0.276253377,0.389464767,0.387765531,0.438254931,0.342944751,0.322773392,0.356674944,0.371563556,0.485507816,0.265703166,0.385662481,0.462623522,0.422856851,0.265703166,0.405465108,0.362905494,0.371563556,0.300104592,0.251314428,0.498991166,0.374430082
Aug-20,0.645137961,0.617923759,0.677146839,0.995958135,0.763351439,0.678109303,0.701445983,0.55770921,0.648026745,0.785262469,0.817199829,0.607491736,0.74893854,0.693147181,0.943198185,0.850150929,0.780158558,0.791882021,0.619039208,0.781700578,0.53280453,0.781700578,0.718680483,0.575364145,0.628608659,0.693147181,0.638658995,0.570544858,0.755948082,0.684636491,0.762140052,0.619039208,0.577075009,1.03691872,0.971860583,0.701310491,0.53280453,1.03691872,0.711051342
Sep-20,0.839750655,0.887303195,1.025281016,1.37431817,0.704446736,0.893817876,0.737598943,1.00144854,0.866418902,0.864997437,0.962275845,0.984853403,0.995428052,0.861138912,0.85105021,0.934309237,1.16315081,0.683096845,0.796331417,0.989412997,0.762140052,0.897941593,0.953104705,1.098612289,1.075355427,0.875468737,1.150572028,0.762140052,0.736632292,0.68289068,0.858226931,1.136352617,1.045123604,1.014351945,0.850776125,0.940983344,0.68289068,1.37431817,0.912110668
Oct-20,0.61400986,0.880745794,0.568324116,0.976509592,1.176944132,0.471062391,1.040343381,0.987059803,0.506817602,0.865759923,0.886437769,0.693147181,0.755278962,0.603198944,0.886437769,0.950615474,0.885519073,0.654786313,0.554106132,0.64607967,0.659245629,0.95426998,1.06784063,0.663294217,0.735967178,0.804372816,0.872940291,0.604199695,0.808077147,0.906069178,0.650129795,1.33222714,0.711723566,0.853232596,0.677061043,0.741349282,0.471062391,1.33222714,0.77398678
Nov-20,0.619039208,1.089178256,0.684848378,0.969400557,1.461195669,0.563689113,0.840998627,0.950192284,0.663037379,1.05664809,0.543401794,0.856776604,0.680017889,0.566784277,1.009140886,1.006804739,0.902867712,0.668854488,0.697340059,0.933017526,0.577187299,1.089562453,0.5146644,0.659245629,0.946596081,0.945849534,0.98394938,0.747706165,0.831132924,0.891817875,0.829102817,1.020049966,0.641853886,1.09383901,0.757685702,0.799527584,0.5146644,1.461195669,0.811976856
Dec-20,0.706570201,0.761667127,0.655875786,1.020834588,1.157452789,0.643754425,0.806087592,0.803148076,0.667668095,0.750114005,0.752501423,0.789823481,0.706305265,0.618558324,1.060871961,0.896088025,0.618578485,0.569393978,0.599511576,0.795703769,0.59351734,1.068153081,0.78845736,0.526093096,0.737296965,0.924521231,0.938269639,0.66750475,0.84729786,0.875468737,0.693147181,1.175870772,0.631015399,0.829962648,0.775953084,0.752918924,0.526093096,1.175870772,0.768096123
Jan-21,0.494534704,0.509761228,0.498710648,0.692323118,0.771399377,0.463823743,0.654822066,0.64073002,0.498330446,0.600869435,0.646474772,0.550962952,0.486607541,0.535586939,0.658424274,0.671676496,0.618920858,0.473371986,0.436928378,0.588609372,0.540263563,0.696469443,0.682416578,0.429367401,0.568224162,0.626105529,0.772379844,0.640647856,0.550154218,0.553000549,0.466164853,0.613537762,0.619741456,0.628204537,0.621036742,0.62481242,0.429367401,0.772379844,0.580231483
Feb-21,0.25882385,0.357205849,0.262583707,0.358616812,0.36113538,0.273743573,0.393306044,0.351573195,0.314105206,0.282082388,0.377613612,0.307731921,0.343440505,0.391857507,0.359003519,0.400164616,0.36904572,0.291833805,0.322759864,0.383353088,0.272400629,0.411788785,0.351112946,0.291915182,0.309233198,0.37154936,0.372108093,0.305243499,0.36600755,0.341843274,0.2900611,0.324139033,0.370800818,0.351251658,0.342530437,0.353139289,0.25882385,0.411788785,0.335896791
