Date,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,Entropy_17,Entropy_18,Entropy_19,Entropy_20,Entropy_21,Entropy_22,Entropy_23,Entropy_24,Entropy_25,Entropy_26,Entropy_27,Entropy_28,Entropy_29,Entropy_30,Entropy_31,Entropy_32,Entropy_33,Entropy_34,Entropy_35,Entropy_36,Min,Max,Mean
Mar-20,0.157325673,0.158989789,0.166258698,0.144162029,0.157467432,0.141165805,0.17337131,0.158307673,0.163937888,0.146487807,0.150992655,0.148765637,0.134357498,0.087919583,0.157076797,0.142486987,0.16435485,0.148420005,0.081105595,0.090768588,0.130754327,0.095953703,0.14698219,0.144008233,0.141884971,0.155966551,0.083319543,0.089813503,0.167982836,0.155133722,0.09046134,0.131285806,0.135962812,0.152825937,0.162903471,0.167793456,0.081105595,0.17337131,0.136456914
Apr-20,0.136284666,0.123400838,0.139516272,0.128017913,0.128978389,0.106609735,0.135890021,0.131550848,0.119948711,0.116908822,0.130444018,0.120247629,0.114344869,0.097245977,0.125630458,0.115562383,0.121909822,0.119648423,0.082017699,0.093259498,0.099928382,0.09710371,0.126795299,0.13000022,0.105923487,0.125738796,0.094505351,0.092200091,0.130790131,0.127109405,0.102661459,0.105330575,0.115855569,0.128277169,0.122309306,0.132833258,0.082017699,0.139516272,0.116385159
May-20,0.272671283,0.288881833,0.257776069,0.238239028,0.243837047,0.227180336,0.299559782,0.247361098,0.264278664,0.266554526,0.275477724,0.253621234,0.214682134,0.258780031,0.294954832,0.248255152,0.26146941,0.285251938,0.232873836,0.225143774,0.230261019,0.251440971,0.264933935,0.251953528,0.255297729,0.266972568,0.24181046,0.237758764,0.272956036,0.255933374,0.265044034,0.221170083,0.237649699,0.254804833,0.255784708,0.269513293,0.214682134,0.299559782,0.254499584
Jun-20,0.173628487,0.163772125,0.194476594,0.22470078,0.213737753,0.175081278,0.200520048,0.212706293,0.195735391,0.210591991,0.203797962,0.192932833,0.181567124,0.199342951,0.219187238,0.220475621,0.185549249,0.196229987,0.169974883,0.181025027,0.169371153,0.21296861,0.205215377,0.185598905,0.178455441,0.19902963,0.195716914,0.192029368,0.184364458,0.206928586,0.193644375,0.177237662,0.196425379,0.206322154,0.207055578,0.220395353,0.163772125,0.22470078,0.195068614
Jul-20,0.383115261,0.341210718,0.367323012,0.394506094,0.405928608,0.383364761,0.343069292,0.315701789,0.369723382,0.398192349,0.420648285,0.301858151,0.367118903,0.377942505,0.425742301,0.437154619,0.345998686,0.347093102,0.312434317,0.367826257,0.335397545,0.454137687,0.371972359,0.360184404,0.332894415,0.380548757,0.362563087,0.362457164,0.370087269,0.35072947,0.338112926,0.346120077,0.375773318,0.444314143,0.392702856,0.450001127,0.301858151,0.454137687,0.371307206
Aug-20,0.303144306,0.33480839,0.28923006,0.329015936,0.378292229,0.296492702,0.306893741,0.371822359,0.300622861,0.290953508,0.322938368,0.319633672,0.284161445,0.371983813,0.384087637,0.459021213,0.426518517,0.277053181,0.226027729,0.351305636,0.258699956,0.383627375,0.377980288,0.308028357,0.442577873,0.344585871,0.388443421,0.343454578,0.373734242,0.26153863,0.374146425,0.437121168,0.383514582,0.355152404,0.319208326,0.344874197,0.226027729,0.459021213,0.338006735
Sep-20,0.212520735,0.204502143,0.212479484,0.22052419,0.248167873,0.18184423,0.214636884,0.238521512,0.1879372,0.230630169,0.261083808,0.208889135,0.233393229,0.263527453,0.205940346,0.292365359,0.316704813,0.172720431,0.152474167,0.244161151,0.172856304,0.230620389,0.240804254,0.175982278,0.272181583,0.223410776,0.253052492,0.214417622,0.223708784,0.1788314,0.249990195,0.240946758,0.217733205,0.254064475,0.175204089,0.245439478,0.152474167,0.316704813,0.221424226
Oct-20,0.176826149,0.17861271,0.19569719,0.183566984,0.188072317,0.159656387,0.175355037,0.201899517,0.169373265,0.195797314,0.193569561,0.176546632,0.204687843,0.203175094,0.171502713,0.211259477,0.221007421,0.160015231,0.128840133,0.196984135,0.164131885,0.183405316,0.180675807,0.157399546,0.199510431,0.177738368,0.188112502,0.158932945,0.187460954,0.187806435,0.191398893,0.185961727,0.189634418,0.207180764,0.154332811,0.190631316,0.128840133,0.221007421,0.182268767
Nov-20,0.167814318,0.196388492,0.15361001,0.194316284,0.175168886,0.163480734,0.2087388,0.169083036,0.173266505,0.183422329,0.191353592,0.172884082,0.234115257,0.222063629,0.191105933,0.226186566,0.23112071,0.174012178,0.152489656,0.201563524,0.173859889,0.194781455,0.193752026,0.172813741,0.183542519,0.16689242,0.201331402,0.14294413,0.196783012,0.173834008,0.194233742,0.185203954,0.213169644,0.194215297,0.169257418,0.193407204,0.14294413,0.234115257,0.185791461
Dec-20,0.096588444,0.147469562,0.098555882,0.14764551,0.115191598,0.110088625,0.160407634,0.095721715,0.134132752,0.100189032,0.136016502,0.121968125,0.171387513,0.162698769,0.139565135,0.159823914,0.174468035,0.135438888,0.109256324,0.146726181,0.111246558,0.125111643,0.145900874,0.133080948,0.121314599,0.115755153,0.114591148,0.080326444,0.151921646,0.109639614,0.13669236,0.114460553,0.15144674,0.111406209,0.144397986,0.14286635,0.080326444,0.174468035,0.127735242
